
Predictions were generated on 26-Mar-2019 at 06:11:00 using FAST (v8.16.00a-bjj, 27-Jul-2016), compiled as a 64-bit application using double precision
 linked with  NWTC Subroutine Library (v2.09.00, 23-Jul-2016); ElastoDyn (v1.04.00a-bjj, 26-Jul-2016); OpenFOAM Integration (v1.00.00a-bjj, 11-Aug-2015); AeroDyn (v15.03.00, 27-Jul-2016); HydroDyn (v2.05.01, 27-Jul-2016)

Description from the FAST input file: FAST Certification Test #01: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time      	Wind1VelX 	Wind1VelY 	Wind1VelZ 	OoPDefl1  	IPDefl1   	TwstDefl1 	BldPitch1 	Azimuth   	RotSpeed  	RotTorq   	GenSpeed  	TTDspFA   	TTDspSS   	TTDspTwst 	Spn2MLxb1 	Spn2MLyb1 	RootFxb1  	RootFyb1  	RootFzb1  	RootMxb1  	RootMyb1  	RootMzb1  	LSSGagMya 	LSSGagMza 	YawBrFxp  	YawBrFyp  	YawBrFzp  	YawBrMxp  	YawBrMyp  	YawBrMzp  	TwrBsFxt  	TwrBsFyt  	TwrBsFzt  	TwrBsMxt  	TwrBsMyt  	TwrBsMzt  	Wave1Elev 	HydroFxi  	HydroFyi  	HydroFzi  	HydroMxi  	HydroMyi  	HydroMzi  
(s)       	(m/s)     	(m/s)     	(m/s)     	(m)       	(m)       	(deg)     	(deg)     	(deg)     	(rpm)     	(kN·m)    	(rpm)     	(m)       	(m)       	(deg)     	(kN·m)    	(kN·m)    	(kN)      	(kN)      	(kN)      	(kN·m)    	(kN·m)    	(kN·m)    	(kN·m)    	(kN·m)    	(kN)      	(kN)      	(kN)      	(kN·m)    	(kN·m)    	(kN·m)    	(kN)      	(kN)      	(kN)      	(kN·m)    	(kN·m)    	(kN·m)    	(m)       	(N)       	(N)       	(N)       	(N·m)     	(N·m)     	(N·m)     
    0.0000	 8.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 9.155E+00	 3.194E+01	 8.881E+02	 0.000E+00	 0.000E+00	 0.000E+00	-8.810E+00	 6.050E+00	 6.097E+00	-2.932E-01	 1.867E+02	 1.554E+01	 1.727E+01	-3.798E+01	-1.917E+03	-4.922E+01	 1.244E+01	 1.307E+00	-3.321E+03	 2.793E+01	-3.861E+02	 3.492E-13	-9.882E+00	-8.704E-01	-6.728E+03	 1.589E+01	-2.905E+02	 3.492E-13	 1.614E+00	-1.218E+07	-3.469E-13	 4.558E+07	 2.732E-12	 1.809E+08	 3.553E-10
    0.0100	 8.000E+00	 0.000E+00	 0.000E+00	 1.620E-03	-3.641E-05	 0.000E+00	 0.000E+00	 5.493E-01	 9.155E+00	 2.307E+02	 8.881E+02	-9.762E-06	-2.496E-07	 0.000E+00	-1.245E+01	-2.469E+01	 1.982E+01	-5.930E+00	 1.861E+02	 8.543E+01	 2.134E+02	 6.717E+01	-1.932E+03	-2.036E+01	 1.570E+01	 9.919E+00	-3.326E+03	 2.109E+02	-4.071E+02	 1.671E-12	-8.297E+00	-6.501E+00	-6.733E+03	 1.185E+02	-2.608E+02	-1.119E-05	 1.596E+00	-1.204E+07	 0.000E+00	 4.560E+07	 5.573E-12	 1.800E+08	 1.626E-14
    0.0200	 8.000E+00	 0.000E+00	 0.000E+00	 9.773E-03	-8.111E-04	 0.000E+00	 0.000E+00	 1.099E+00	 9.155E+00	 2.379E+02	 8.881E+02	-2.970E-05	-2.515E-06	 0.000E+00	-1.411E+01	-1.520E+01	 1.954E+01	-6.663E+00	 1.874E+02	 9.291E+01	 2.189E+02	 1.895E+01	-1.948E+03	 5.709E+00	 1.546E+01	 9.930E+00	-3.327E+03	 2.187E+02	-4.273E+02	-9.060E-13	-7.133E+00	-6.348E+00	-6.734E+03	 1.122E+02	-2.282E+02	-4.299E-05	 1.578E+00	-1.191E+07	 3.469E-13	 4.562E+07	-2.776E-12	 1.791E+08	-3.553E-10
    0.0300	 8.000E+00	 0.000E+00	 0.000E+00	 2.741E-02	-2.916E-03	 0.000E+00	 0.000E+00	 1.648E+00	 9.155E+00	 2.976E+02	 8.881E+02	-5.157E-05	-8.371E-06	 0.000E+00	-1.739E+01	-1.596E+01	 2.504E+01	-9.022E+00	 1.874E+02	 1.266E+02	 3.259E+02	 1.814E+02	-1.942E+03	 2.463E+01	 1.524E+01	 1.192E+01	-3.330E+03	 2.748E+02	-4.332E+02	-1.327E-12	-3.912E+00	-7.130E+00	-6.737E+03	 1.186E+02	-1.480E+02	-1.184E-04	 1.560E+00	-1.177E+07	 3.469E-13	 4.564E+07	 5.529E-12	 1.782E+08	 7.105E-10
    0.0400	 8.000E+00	 0.000E+00	 0.000E+00	 5.051E-02	-5.659E-03	 0.000E+00	 0.000E+00	 2.197E+00	 9.155E+00	 2.935E+02	 8.881E+02	-8.027E-05	-1.746E-05	 0.000E+00	-1.570E+01	 1.478E+00	 2.294E+01	-8.677E+00	 1.882E+02	 1.216E+02	 3.348E+02	-1.380E+02	-1.955E+03	 4.452E+01	 1.378E+01	 1.091E+01	-3.331E+03	 2.729E+02	-4.566E+02	-1.000E-12	-1.135E+00	-5.700E+00	-6.738E+03	 8.124E+01	-7.022E+01	-2.034E-04	 1.542E+00	-1.164E+07	-8.674E-13	 4.566E+07	-9.758E-12	 1.773E+08	 3.553E-10
    0.0500	 8.023E+00	 1.422E-04	-1.233E-03	 7.910E-02	-9.180E-03	 0.000E+00	 0.000E+00	 2.747E+00	 9.155E+00	 3.218E+02	 8.881E+02	-1.125E-04	-3.061E-05	 0.000E+00	-2.053E+01	 1.691E+01	 2.476E+01	-1.052E+01	 1.885E+02	 1.506E+02	 4.049E+02	 1.131E+02	-1.962E+03	 6.292E+01	 1.256E+01	 1.107E+01	-3.334E+03	 3.012E+02	-4.785E+02	-1.894E-13	 2.853E+00	-4.743E+00	-6.741E+03	 4.918E+01	 3.617E+01	-3.389E-04	 1.523E+00	-1.150E+07	 5.204E-13	 4.568E+07	 2.754E-12	 1.764E+08	 1.776E-10
    0.0600	 8.023E+00	 1.422E-04	-1.233E-03	 1.137E-01	-1.351E-02	 0.000E+00	 0.000E+00	 3.296E+00	 9.155E+00	 5.507E+02	 8.881E+02	-1.486E-04	-4.821E-05	 0.000E+00	-2.499E+01	 9.806E+00	 4.669E+01	-1.629E+01	 1.882E+02	 2.345E+02	 7.507E+02	 2.457E+02	-2.015E+03	 9.722E+01	 1.740E+01	 1.979E+01	-3.344E+03	 5.142E+02	-5.514E+02	-1.614E-12	 8.133E+00	-9.018E+00	-6.751E+03	 1.097E+02	 1.620E+02	-7.049E-04	 1.505E+00	-1.136E+07	-1.214E-12	 4.570E+07	 5.594E-12	 1.755E+08	 1.776E-10
    0.0700	 8.023E+00	 1.422E-04	-1.233E-03	 1.538E-01	-1.854E-02	 0.000E+00	 0.000E+00	 3.845E+00	 9.155E+00	 3.338E+02	 8.881E+02	-1.710E-04	-7.219E-05	 0.000E+00	-2.277E+01	 7.484E+01	 1.744E+01	-1.064E+01	 1.902E+02	 1.606E+02	 4.252E+02	-2.826E+02	-1.986E+03	 1.032E+02	 7.771E+00	 8.545E+00	-3.337E+03	 3.185E+02	-5.365E+02	-8.168E-13	 1.081E+01	 3.494E-02	-6.745E+03	-7.959E+01	 2.636E+02	-6.038E-04	 1.487E+00	-1.123E+07	-1.735E-13	 4.572E+07	 1.388E-12	 1.746E+08	-5.421E-15
    0.0800	 8.023E+00	 1.422E-04	-1.233E-03	 1.991E-01	-2.428E-02	 0.000E+00	 0.000E+00	 4.394E+00	 9.155E+00	 3.479E+02	 8.881E+02	-1.921E-04	-1.020E-04	 0.000E+00	-2.724E+01	 9.852E+01	 1.863E+01	-1.236E+01	 1.904E+02	 1.923E+02	 5.150E+02	 8.667E+01	-2.011E+03	 1.292E+02	 6.681E+00	 7.260E+00	-3.341E+03	 3.355E+02	-5.812E+02	-8.668E-13	 1.533E+01	 2.894E+00	-6.749E+03	-1.578E+02	 3.880E+02	-9.035E-04	 1.469E+00	-1.109E+07	 1.735E-13	 4.574E+07	 4.163E-12	 1.736E+08	 1.084E-14
